ticker,mvp_group,internal_sector,curation_status,company_name,trading_name,issuing_company,b3_sector,b3_subsector,b3_segment,industry_classification,activity,website,cnpj,code_cvm,legal_name,commercial_name,registration_status,days_traded,avg_daily_volume_brl,total_volume_brl,total_trades,liquidity_rank,found_in_b3,found_in_liquidity,found_in_cvm,mvp_order
ITUB4,Bancos e Financeiros,TODO,pending,ITAU UNIBANCO HOLDING S.A.,ITAUUNIBANCO,ITUB,Financeiro,Intermediários Financeiros,Bancos,Financeiro / Intermediários Financeiros / Bancos,A sociedade tem por objeto a atividade bancária em todas as modalidades autorizadas. inclusive a de operações de câmbio.,www.itau-unibanco.com.br/relacoes-com-investidores,60872504000123,19348,ITAÚ UNIBANCO HOLDING S.A.,ITAÚ UNIBANCO,ATIVO,110,1319017293.3818183,145091902272.0,4840962,4,True,True,True,1
BBDC4,Bancos e Financeiros,TODO,pending,BCO BRADESCO S.A.,BRADESCO,BBDC,Financeiro,Intermediários Financeiros,Bancos,Financeiro / Intermediários Financeiros / Bancos,Prática de operações bancárias em geral. inclusive câmbio,www.bradesco.com.br,60746948000112,906,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,ATIVO,110,669116144.209091,73602775863.0,3814840,7,True,True,True,2
BBAS3,Bancos e Financeiros,TODO,pending,BCO BRASIL S.A.,BRASIL,BBAS,Financeiro,Intermediários Financeiros,Bancos,Financeiro / Intermediários Financeiros / Bancos,Banco Múltiplo,www.bb.com.br,00000000000191,1023,BANCO DO BRASIL S.A.,BANCO DO BRASIL S.A.,ATIVO,110,666882467.8181819,73357071460.0,3756090,8,True,True,True,3
SANB11,Bancos e Financeiros,TODO,pending,BCO SANTANDER (BRASIL) S.A.,SANTANDER BR,SANB,Financeiro,Intermediários Financeiros,Bancos,Financeiro / Intermediários Financeiros / Bancos,Banco Múltiplo com Carteira Comercial,www.santander.com.br,90400888000142,20532,BANCO SANTANDER (BRASIL) S.A.,BANCO SANTANDER (BRASIL) S.A.,ATIVO,110,110494226.00909092,12154364861.0,1290780,55,True,True,True,4
BPAC11,Bancos e Financeiros,TODO,pending,BCO BTG PACTUAL S.A.,BTGP BANCO,BPAC,Financeiro,Intermediários Financeiros,Bancos,Financeiro / Intermediários Financeiros / Bancos,A Companhia e suas controladas formam um grupo de prestação de serviços financeiros sediado no Brasil. atuando como banco múltiplo. com carteira de investimento. nos termos da legislação aplicável.,www.btgpactual.com,30306294000145,22616,BANCO BTG PACTUAL S/A,BANCO UBS PACTUAL S/A,ATIVO,110,553539494.1727272,60889344359.0,3133713,11,True,True,True,5
PETR4,Óleo e Gás,TODO,pending,PETROLEO BRASILEIRO S.A. PETROBRAS,PETROBRAS,PETR,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,Pesquisa. lavra. refinação. processamento. comércio e transporte de petróleo. de seus derivados. de gás natural e de outros hidrocarbonetos fluidos. além das atividades vinculadas à energia.,www.petrobras.com.br,33000167000101,9512,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,PETROBRAS,ATIVO,110,2125884661.2545452,233847312738.0,6016355,1,True,True,True,6
PRIO3,Óleo e Gás,TODO,pending,PRIO S.A.,PRIO,PRIO,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,A Companhia tem por objeto a participação em outras sociedades como sócia. acionista ou quotista. no país ou no exterior. desde que visando à consecução de atividades relacionadas à energia.,www.petroriosa.com.br,10629105000168,22187,PRIO S.A.,PETRO RIO S.A.,ATIVO,110,782156150.8454546,86037176593.0,4077983,6,True,True,True,7
VALE3,Mineração e Siderurgia,TODO,pending,VALE S.A.,VALE,VALE,Materiais Básicos,Mineração,Minerais Metálicos,Materiais Básicos / Mineração / Minerais Metálicos,Mineração,,33592510000154,4170,VALE S.A.,VALE,ATIVO,110,2024670520.990909,222713757309.0,4929042,2,True,True,True,8
CSNA3,Mineração e Siderurgia,TODO,pending,CIA SIDERURGICA NACIONAL,SID NACIONAL,CSNA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia,A Companhia Siderúrgica Nacional atua nos setores de mineração. siderurgia. logística. cimento e energia.,www.csn.com.br,33042730000104,4030,CIA SIDERURGICA NACIONAL,CSN,ATIVO,110,106873955.38181818,11756135092.0,1698573,59,True,True,True,9
GGBR4,Mineração e Siderurgia,TODO,pending,GERDAU S.A.,GERDAU,GGBR,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia,Participação e Administração,www.gerdau.com,33611500000119,3980,GERDAU S.A.,GERDAU S.A.,ATIVO,110,255703699.51818183,28127406947.0,2293327,25,True,True,True,10
